entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
518,ATP5MC3,hsa-mir-409-3p,hsa-mir-424-5p,0.004,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/24591819'>PubMedLink</a>,<a href='https://pubmed.ncbi.nlm.nih.gov/29151939'>PubMedLink</a>,NA,mirtarbase,mirtarbase tarbase,0.1643764705882353,FALSE
595,CCND1,hsa-mir-338-3p,hsa-mir-17-5p,0.0075,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/26500892'>PubMedLink</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/10329035'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10584879'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11395387'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15297421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15505422'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15505422'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15545188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23907459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24018808'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24858206'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28598010'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30409964'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30414739'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8607831'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9038263'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9790790'>PubMedLink</a>",mirtarbase tarbase,mirtarbase tarbase,0.22107594936708855,FALSE
773,CACNA1A,hsa-mir-605-5p,hsa-mir-221-5p,0.005,FALSE,NA,NA,NA,mirtarbase,tarbase,0.18005154639175258,FALSE
800,CALD1,hsa-mir-17-5p,hsa-mir-98-5p,0.004,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/26500892'>PubMedLink</a>,NA,NA,tarbase,tarbase,0.1643764705882353,FALSE
857,CAV1,hsa-mir-194-5p,hsa-mir-20a-5p,0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11032026'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11032026'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11696424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11696424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11863219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11863219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26503358'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30487062'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31228941'>PubMedLink</a>",mirtarbase tarbase,mirtarbase tarbase,0.2135458515283843,FALSE
894,CCND2,hsa-mir-10a-5p,hsa-mir-106a-5p,0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17270028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18281541'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>",tarbase,tarbase,0.20055502392344496,FALSE
894,CCND2,hsa-mir-200a-3p,hsa-mir-378a-5p,0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17270028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18281541'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>",tarbase,mirtarbase tarbase,0.22107594936708855,FALSE
990,CDC6,hsa-mir-142-3p,hsa-mir-204-5p,0.0045,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/29904404'>PubMedLink</a>,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/27035425'>PubMedLink</a>,mirtarbase tarbase,tarbase,0.17273076923076922,FALSE
1021,CDK6,hsa-mir-378a-3p,hsa-let-7f-5p,0.0045,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/28778953'>PubMedLink</a>,mirtarbase tarbase,tarbase,0.17273076923076922,FALSE
1021,CDK6,hsa-mir-378a-3p,hsa-mir-200a-3p,0.004,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/28778953'>PubMedLink</a>,mirtarbase tarbase,mirtarbase,0.1643764705882353,FALSE
