Target,count_hgnc_symbol_target,BLCATargetCount,BRCATargetCount,CESCTargetCount,COADTargetCount,ESCATargetCount,HNSCTargetCount,KICHTargetCount,KIRCTargetCount,KIRPTargetCount,LGGTargetCount,LIHCTargetCount,LUADTargetCount,LUSCTargetCount,PAADTargetCount,PCPGTargetCount,PRADTargetCount,SARCTargetCount,STADTargetCount,TGCTTargetCount,THCATargetCount,THYMTargetCount,UCECTargetCount
TMEM245,1,,1,,,,,,,,,,,,,,,,,,,,
NF1,7,,,,,,,,,,1,,,,,,,,,6,,,
LGALS8,2,,,,,,,,,,,,,,,,,2,,,,,
SP100,4,,,,,,,,,,,,,,,,,,,4,,,
IQCG,1,,,,,,,,,,,,,,,,,,,1,,,
DOCK11,1,,,,1,,,,,,,,,,,,,,,,,,
GTDC1,4,,,,,,3,,,,,,,,,,1,,,,,,
EPB42,10,,,,,,,,,,10,,,,,,,,,,,,
PMS2,2,,,,,,,,,,2,,,,,,,,,,,,
YWHAQ,1,,,,,,,,,,,,,,,,,,,,1,,
IER3,7,2,,,,,,,,,5,,,,,,,,,,,,
PIM1,32,1,,,,,1,,,,26,,,,,,,,4,,,,
REL,17,1,,,,,,,,,15,,,,,,,,,,,1,
PLEKHG1,1,,,,1,,,,,,,,,,,,,,,,,,
RFC3,1,,,,,,,,,,1,,,,,,,,,,,,
TNIK,1,,,,,,,,,,1,,,,,,,,,,,,
ISG20,1,,,,,,,,,,,,,,,,,1,,,,,
MATN1,2,,,,,,,,,,,,,,,,,,,2,,,
PCDH1,9,,,,,,,,,,,,,,,,,,,9,,,
MMP3,10,,,,,,1,,,,,,,,,,,,,,,9,
IGFBP1,10,,,,,,,,,,10,,,,,,,,,,,,
BHLHE41,3,,,,,,,,,,,,2,,,,,,,,,1,
ERRFI1,2,,,,,,,,,,,,,,,,,,2,,,,
A2M,3,,,,,,,,,,,,,,,,,,,2,,,1
PPP2R5D,2,,,,,,,,,,,,,,,,,,,,,2,
IFI35,1,,,,,,,,,,1,,,,,,,,,,,,
COL7A1,8,,,,,,,,,,,,,,,,,8,,,,,
HDAC5,1,,,,,,,,,,,,,,,,,1,,,,,
CD53,3,,,,,,,,,,,,,,,,,,2,,,,1
SULF2,2,,,,,,,,,,,,,,,,,,,2,,,
CSNK2B,1,,,,,,,,,,,,,,,,,,,,,1,
BHLHE40,12,,,,1,,2,,,,,6,,,,1,,,,2,,,
SMAD7,1,,,,,,,,,1,,,,,,,,,,,,,
BLK,3,,,,,,,,,,1,,,,,,1,,,,1,,
NOD2,2,,,,,,,,,,1,,,,,,,,,1,,,
ROR1,10,,,,,,,,,,,,,,,,,10,,,,,
PBDC1,1,,,,,,,,,,,,,,,,,1,,,,,
FSTL3,3,,,,,,,,,,,,,,,,,,,3,,,
MUC1,3,1,,,,,,,,,,,1,,,,,,,1,,,
SAMD4A,12,,6,,,,,,,,,,,,,,,6,,,,,
PRKCH,5,,,,,,2,,,,,,,,,,,,3,,,,
COL1A2,16,,,,,,,,,,16,,,,,,,,,,,,
GZMB,2,,,,,,,,,,2,,,,,,,,,,,,
PCBP4,1,,,,,,,,,,1,,,,,,,,,,,,
NPAS3,2,,,,,,,,,,,,,,,,,2,,,,,
MEGF6,1,,,,,,,,,,,,,,,,,,,1,,,
COL18A1,7,2,4,,,,,,,,,,,,,,,,,1,,,
CXCR4,22,,,,,,,,,,19,,,,,,,,2,1,,,
ZNF234,11,,,,,,,,,,11,,,,,,,,,,,,
TBX21,8,,,,,,,,,,8,,,,,,,,,,,,
ATG16L2,2,,,,,,,,,,,,,,,,,,2,,,,
SH3KBP1,3,2,,,,,,,,,,,,,,,,,,1,,,
ITPR2,1,,1,,,,,,,,,,,,,,,,,,,,
ID2,31,,,,,,,,,,31,,,,,,,,,,,,
ID3,3,,,,,,,,,,3,,,,,,,,,,,,
ADAM17,6,,,,,,,,,,4,,,,,,,,,2,,,
TK1,1,,,,,,,,,,1,,,,,,,,,,,,
SLC44A1,4,,,,,,,,,,2,,,,,,,,,,,2,
IREB2,1,,,,,,,,,,,,,,,,,,,,,1,
EPHA6,6,,,,,,,,,,,,,,,,,,,,,6,
PLCB4,6,6,,,,,,,,,,,,,,,,,,,,,
TFPI2,8,4,,,,,,,,,,,,,,,,,1,,,2,1
ZNF503,1,,1,,,,,,,,,,,,,,,,,,,,
TXNRD1,25,,,,,,,,,,15,,,,,,,5,5,,,,
KAZN,6,,,,,,,,,,1,,,,,,,,,5,,,
TBL1XR1,1,,,,,,,,,,,,,,,,,1,,,,,
TCF12,1,,,,,,,,,,,,,,,,,,,,,1,
FOS,8,5,,,,,,,,,2,,,,,,,,,,,,1
TEAD1,13,2,,,,,,,,,10,,,,,,,1,,,,,
ST3GAL1,1,,1,,,,,,,,,,,,,,,,,,,,
IQGAP1,51,,1,,,,,,,,,,,,,,,,,50,,,
PDGFC,11,,1,,,,,,,3,,,,,,,,7,,,,,
SERPINI1,1,,,,,,,,,,,,,,,,,1,,,,,
PKM,5,,,,,,,,,1,,,,,,,,,3,,,1,
TAP1,2,,,,,,,,,,2,,,,,,,,,,,,
ALOXE3,2,,,,,,2,,,,,,,,,,,,,,,,
IFNGR1,29,,,,,,,,,,28,,,,,,1,,,,,,
