"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","is_mrna_tf"
104,"ADARB1","hsa-mir-181b-5p","hsa-mir-20a-5p",0.0885,0.0235,0,"NA","NA","NA"," tarbase "," tarbase ",16.4120095531384,15.2229477078869,0.500206300016458,0.0917881302785325,0.100053495917755,0.224887614264827,0.0518655489263771,-0.160105654354453,FALSE
104,"ADARB1","hsa-mir-188-3p","hsa-mir-301a-3p",0.139,0.0125,0.0015,"NA","NA","NA"," tarbase "," tarbase ",16.3241812756888,15.2093311891306,0.00326058841305416,1.42375728081802,0.000234947712978489,0.857590000535596,0.0518655489263771,-0.160105654354453,FALSE
104,"ADARB1","hsa-mir-19a-3p","hsa-mir-27a-5p",0.0785,0.289,0,"NA","NA","NA"," tarbase "," tarbase ",16.5042718251607,15.3127591514086,0.000134087335279268,0.752372781500315,0.0188266727449798,-0.410684490558836,0.0518655489263771,-0.160105654354453,FALSE
104,"ADARB1","hsa-mir-20a-5p","hsa-mir-21-3p",0.0155,0.7945,0.0035,"NA","NA","NA"," tarbase "," tarbase ",16.4581406891496,15.4203683309158,0.100053495917755,0.224887614264827,0.395602980752267,-0.0955857110219041,0.0518655489263771,-0.160105654354453,FALSE
104,"ADARB1","hsa-mir-3065-3p","hsa-mir-19a-3p",0.0105,0.0495,0.007,"NA","NA","NA"," tarbase "," tarbase ",16.6197090818474,15.1712720505822,0.0808000604353229,0.326357241476501,0.000134087335279268,0.752372781500315,0.0518655489263771,-0.160105654354453,FALSE
104,"ADARB1","hsa-mir-625-5p","hsa-mir-19a-3p",0.377,0.0645,0.001,"NA","NA","NA"," tarbase "," tarbase ",16.3487071617816,15.3127591514086,0.099815236669057,0.526686399962469,0.000134087335279268,0.752372781500315,0.0518655489263771,-0.160105654354453,FALSE
104,"ADARB1","hsa-mir-625-5p","hsa-mir-20a-5p",0.326,0.016,0,"NA","NA","NA"," tarbase "," tarbase ",16.4104088343101,15.2383865468841,0.099815236669057,0.526686399962469,0.100053495917755,0.224887614264827,0.0518655489263771,-0.160105654354453,FALSE
182,"JAG1","hsa-mir-20a-3p","hsa-mir-138-5p",0.4695,0.152,0.001,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/27978829'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25955824'>PubMedLink</a>"," tarbase "," tarbase ",18.6867272137474,17.4920967758236,0.000149742416353506,0.98537089305058,0.000994206154790193,1.23217042233043,0.975845162599691,0.00237847571919038,FALSE
444,"ASPH","hsa-mir-145-5p","hsa-mir-362-3p",0.082,0.0175,0.0045,"NA","NA","NA"," tarbase "," tarbase ",18.699502720721,17.5489970923324,3.92581846090503e-09,-0.601602054241759,0.0439348278274185,0.6157259952513,0.956516161132722,-0.00432762020216956,FALSE
467,"ATF3","hsa-mir-2355-5p","hsa-mir-205-5p",0.038,0.101,0.002,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30909190'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/23536558'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27196751'>PubMedLink</a>"," tarbase "," tarbase ",18.9347110633491,17.4292701006946,0.850842527018588,-0.0304003734126943,0.172488819220341,0.154692208251211,0.00170642843372733,-0.235482562699006,TRUE
